지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
47290,중방동,중방e-편한세상2단지,84.973,"45,000",2010,2021-01-22,13
47290,사동,부영3차원앙마을,59.987,"12,700",2003,2021-01-25,13
47290,압량읍 신대리,경산푸르지오,74.967,"31,500",2015,2021-01-22,12
47290,압량읍 신대리,경산푸르지오,84.962,"30,800",2015,2021-01-26,5
47290,사동,부영1차,59.889,"11,500",2001,2021-01-04,9
47290,진량읍 북리,경산4차삼주봉황타운,59.62,"8,250",1998,2021-01-26,3
47290,대평동,협성휴포레경산대평,84.9438,"33,300",2018,2021-01-06,17
47290,계양동,계양주공,47.1,"11,200",1985,2021-01-23,4
47290,압량읍 신대리,경산코아루아파트,84.9886,"35,000",2015,2021-01-23,6
47290,옥곡동,경산우방유쉘,126.4142,"41,000",2009,2021-01-20,2
47290,진량읍 선화리,경산1차윤성,40.58,"3,400",1995,2021-01-21,3
47290,사동,창신백조2차,59.49,"5,000",1990,2021-01-14,1
47290,옥곡동,한일유앤아이,77.8034,"20,500",2005,2021-01-19,1
47290,서상동,동남,59.086,"6,900",1990,2021-01-12,4
47290,계양동,계양주공,47.1,"12,700",1985,2021-01-05,2
47290,진량읍 북리,우림필유,84.9019,"17,450",2007,2021-01-26,1
47290,중방동,중방e-편한세상1단지,84.969,"50,000",2010,2021-01-16,8
47290,진량읍 황제리,창신황제타운,59.91,"5,700",1996,2021-01-12,6
47290,옥산동,협화타운,65.87,"12,000",1994,2021-01-06,9
47290,중방동,은호,48.34,"9,450",1987,2021-01-05,4
47290,사동,창신백조1,44.325,"5,800",1990,2021-01-24,5
47290,진량읍 선화리,경산1차윤성,40.58,"3,200",1995,2021-01-22,20
47290,정평동,우방맨션1차,84.89,"25,000",1990,2021-01-03,13
47290,사동,사동2지구화성파크드림,119.0504,"40,500",2010,2021-01-09,8
47290,옥산동,옥산해오름,59.955,"11,200",1994,2021-01-18,7
47290,대평동,협성휴포레경산대평,84.9438,"32,900",2018,2021-01-10,20
47290,하양읍 동서리,하양2차코아루,75.9994,"25,700",2017,2021-01-23,27
47290,진량읍 북리,경산4차삼주봉황타운,34.2,"4,100",1998,2021-01-23,12
47290,중산동,펜타힐즈서한이다음,72.8234,"43,000",2014,2021-01-16,24
47290,정평동,한솔2차,59.92,"14,800",1998,2021-01-12,4
47290,하양읍 동서리,하양코아루,59.8995,"20,600",2016,2021-01-18,7
47290,백천동,윤성2차타운,59.94,"8,250",1995,2021-01-21,6
47290,옥산동,우방타운,102.7,"18,000",1993,2021-01-07,3
47290,옥곡동,경산우방유쉘,114.1048,"37,500",2009,2021-01-15,16
47290,하양읍 금락리,하양평광아파트,59.95,"14,500",1998,2021-01-23,6
47290,하양읍 금락리,하양2차롯데낙천대,59.9675,"16,400",2006,2021-01-12,5
47290,하양읍 동서리,하양청구2차,84.795,"19,200",2001,2021-01-04,15
47290,하양읍 금락리,경산하양롯데,84.89,"21,200",1999,2021-01-23,16
47290,계양동,초원맘모스,44.46,"5,850",1990,2021-01-18,10
47290,정평동,현대타운,84.99,"28,000",1996,2021-01-15,5
