법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
문정동,올림픽훼밀리타운,117.585,85800,1988,2013-02-25,14,석촌역,개통 전
잠실동,트리지움,84.83,85500,2007,2013-02-27,8,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-02-22,11,석촌역,개통 전
잠실동,레이크팰리스,59.97,67500,2006,2013-02-23,21,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,90000,1978,2013-02-20,4,석촌역,개통 전
장지동,송파파인타운8단지,59.97,40700,2008,2013-02-21,1,석촌역,개통 전
방이동,올림픽선수기자촌1단지,121.23,95500,1988,2013-02-27,2,석촌역,개통 전
방이동,올림픽선수기자촌2단지,83.06,69000,1988,2013-02-23,9,석촌역,개통 전
방이동,올림픽선수기자촌1단지,121.23,96500,1988,2013-02-18,8,석촌역,개통 전
신천동,장미2,99.0,75800,1979,2013-02-27,2,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,90800,1978,2013-02-27,7,석촌역,개통 전
거여동,현대3차,84.94,39000,1993,2013-02-22,7,석촌역,개통 전
송파동,가락삼익맨숀,127.808,62000,1984,2013-02-23,2,석촌역,개통 전
장지동,송파파인타운10단지,59.96,43400,2007,2013-02-23,3,석촌역,개통 전
잠실동,잠실엘스,84.8,84000,2008,2013-02-25,12,석촌역,개통 전
가락동,래미안파크팰리스,84.936,70000,2007,2013-02-20,26,석촌역,개통 전
잠실동,잠실엘스,84.8,84000,2008,2013-02-20,16,석촌역,개통 전
방이동,올림픽선수기자촌2단지,100.31,87000,1988,2013-02-25,9,석촌역,개통 전
잠실동,잠실엘스,84.8,87800,2008,2013-02-17,15,석촌역,개통 전
가락동,가락금호아파트,59.91,39500,1997,2013-02-21,15,석촌역,개통 전
방이동,올림픽선수기자촌1단지,100.82,75000,1988,2013-02-28,8,석촌역,개통 전
풍납동,한강극동,114.76,60000,1995,2013-02-28,11,석촌역,개통 전
신천동,파크리오,121.63,107500,2008,2013-02-28,4,석촌역,개통 전
잠실동,레이크팰리스,116.19,115000,2006,2013-02-20,8,석촌역,개통 전
잠실동,트리지움,84.83,83000,2007,2013-02-19,4,석촌역,개통 전
장지동,송파파인타운13단지,84.92,60500,2011,2013-02-19,15,석촌역,개통 전
잠실동,잠실엘스,84.8,85000,2008,2013-02-18,7,석촌역,개통 전
잠실동,리센츠,84.99,86600,2008,2013-02-16,12,석촌역,개통 전
풍납동,현대리버빌2지구,59.4,35500,1999,2013-02-27,6,석촌역,개통 전
신천동,파크리오,84.79,81700,2008,2013-02-27,16,석촌역,개통 전
장지동,송파파인타운13단지,84.92,50000,2011,2013-02-26,6,석촌역,개통 전
잠실동,잠실엘스,84.8,84000,2008,2013-02-12,4,석촌역,개통 전
방이동,올림픽선수기자촌2단지,84.58,67500,1988,2013-02-16,1,석촌역,개통 전
거여동,거여5단지,59.74,33100,1997,2013-02-15,3,석촌역,개통 전
문정동,올림픽훼밀리타운,136.325,88250,1988,2013-02-28,7,석촌역,개통 전
방이동,올림픽선수기자촌3단지,135.99,110000,1988,2013-02-19,5,석촌역,개통 전
잠실동,아시아선수촌아파트,151.008,138000,1986,2013-02-22,4,석촌역,개통 전
가락동,시영2,49.26,66500,1982,2013-02-27,4,석촌역,개통 전
문정동,문정가락현대1차,84.98,47000,1984,2013-02-27,7,석촌역,개통 전
잠실동,리센츠,84.99,93000,2008,2013-02-23,11,석촌역,개통 전
잠실동,우성아파트,82.06,54000,1981,2013-02-20,3,석촌역,개통 전
잠실동,트리지움,59.88,72000,2007,2013-02-27,16,석촌역,개통 전
잠실동,잠실엘스,84.8,82500,2008,2013-02-22,4,석촌역,개통 전
신천동,장미2,71.2,60000,1979,2013-02-27,2,석촌역,개통 전
장지동,송파파인타운13단지,84.76,56500,2011,2013-02-15,3,석촌역,개통 전
잠실동,트리지움,84.83,85000,2007,2013-02-27,20,석촌역,개통 전
잠실동,잠실엘스,84.8,83000,2008,2013-02-26,16,석촌역,개통 전
송파동,가락삼익맨숀,84.828,49900,1984,2013-02-18,9,석촌역,개통 전
신천동,장미1,82.45,63000,1979,2013-02-28,1,석촌역,개통 전
송파동,한양아파트,105.52,55000,1983,2013-02-19,3,석촌역,개통 전
